?s	?totalEdges
<http://purl.bioontology.org/ontology/ATC/D07AB09>	21
<http://purl.bioontology.org/ontology/ATC/A10BH05>	8
<http://purl.bioontology.org/ontology/ATC/R03AL04>	29
<http://purl.bioontology.org/ontology/ATC/M01AE02>	91
<http://purl.bioontology.org/ontology/ATC/R06AX25>	21
<http://purl.bioontology.org/ontology/ATC/N06AA16>	26
<http://purl.bioontology.org/ontology/ATC/N03AB02>	75
<http://purl.bioontology.org/ontology/ATC/J01XD01>	69
<http://purl.bioontology.org/ontology/ATC/N05BA01>	49
<http://purl.bioontology.org/ontology/ATC/J05AD01>	81
<http://purl.bioontology.org/ontology/ATC/N06BA09>	61
<http://purl.bioontology.org/ontology/ATC/B03XA01>	47
<http://purl.bioontology.org/ontology/ATC/L01EB04>	33
<http://purl.bioontology.org/ontology/ATC/B03XA08>	18
<http://purl.bioontology.org/ontology/ATC/J01FA09>	87
<http://purl.bioontology.org/ontology/ATC/N05BA08>	31
<http://purl.bioontology.org/ontology/ATC/C09DA04>	30
<http://purl.bioontology.org/ontology/ATC/V03AC01>	45
<http://purl.bioontology.org/ontology/ATC/A02BA03>	47
<http://purl.bioontology.org/ontology/ATC/J07CA09>	27
<http://purl.bioontology.org/ontology/ATC/C09DA03>	18
<http://purl.bioontology.org/ontology/ATC/P01BF01>	25
<http://purl.bioontology.org/ontology/ATC/J07AJ52>	34
<http://purl.bioontology.org/ontology/ATC/C10AB08>	26
<http://purl.bioontology.org/ontology/ATC/V01AA03>	119
<http://purl.bioontology.org/ontology/ATC/V03AE04>	9
<http://purl.bioontology.org/ontology/ATC/M03BX02>	33
<http://purl.bioontology.org/ontology/ATC/L01EL02>	33
<http://purl.bioontology.org/ontology/ATC/L01ED01>	50
<http://purl.bioontology.org/ontology/ATC/A10AD05>	24
<http://purl.bioontology.org/ontology/ATC/C08CA13>	24
<http://purl.bioontology.org/ontology/ATC/V03AE03>	35
<http://purl.bioontology.org/ontology/ATC/C07AB07>	34
<http://purl.bioontology.org/ontology/ATC/C01BA03>	26
<http://purl.bioontology.org/ontology/ATC/N02AJ06>	51
<http://purl.bioontology.org/ontology/ATC/R03DA04>	21
<http://purl.bioontology.org/ontology/ATC/L01EF02>	46
<http://purl.bioontology.org/ontology/ATC/J01MA14>	117
<http://purl.bioontology.org/ontology/ATC/C07AB09>	46
<http://purl.bioontology.org/ontology/ATC/C04AB01>	10
<http://purl.bioontology.org/ontology/ATC/C09XA02>	29
<http://purl.bioontology.org/ontology/ATC/N05AX08>	151
<http://purl.bioontology.org/ontology/ATC/A10AB06>	12
<http://purl.bioontology.org/ontology/ATC/N06AA21>	67
<http://purl.bioontology.org/ontology/ATC/L01EB02>	40
<http://purl.bioontology.org/ontology/ATC/L01CA01>	56
<http://purl.bioontology.org/ontology/ATC/R03AL11>	27
<http://purl.bioontology.org/ontology/ATC/C09DA02>	53
<http://purl.bioontology.org/ontology/ATC/A10AB01>	29
<http://purl.bioontology.org/ontology/ATC/N05BA09>	46
<http://purl.bioontology.org/ontology/ATC/A02BC01>	59
<http://purl.bioontology.org/ontology/ATC/J01FA01>	44
<http://purl.bioontology.org/ontology/ATC/J04AB02>	81
<http://purl.bioontology.org/ontology/ATC/N06AA10>	65
<http://purl.bioontology.org/ontology/ATC/L01EH02>	23
<http://purl.bioontology.org/ontology/ATC/C03BA04>	32
<http://purl.bioontology.org/ontology/ATC/J07CA01>	27
<http://purl.bioontology.org/ontology/ATC/M01AE03>	56
<http://purl.bioontology.org/ontology/ATC/C07AB08>	46
<http://purl.bioontology.org/ontology/ATC/J07AN01>	16
<http://purl.bioontology.org/ontology/ATC/G04BX14>	58
<http://purl.bioontology.org/ontology/ATC/N07BC02>	12
<http://purl.bioontology.org/ontology/ATC/N05CD11>	21
<http://purl.bioontology.org/ontology/ATC/A10BD15>	37
<http://purl.bioontology.org/ontology/ATC/G01AF01>	40
<http://purl.bioontology.org/ontology/ATC/J01MA12>	120
<http://purl.bioontology.org/ontology/ATC/L04AX01>	53
<http://purl.bioontology.org/ontology/ATC/L01AD01>	40
<http://purl.bioontology.org/ontology/ATC/M01AC06>	55
<http://purl.bioontology.org/ontology/ATC/L01XX52>	37
<http://purl.bioontology.org/ontology/ATC/A03FA03>	31
<http://purl.bioontology.org/ontology/ATC/D05BB02>	54
<http://purl.bioontology.org/ontology/ATC/V01AA05>	100
<http://purl.bioontology.org/ontology/ATC/J07AL02>	49
<http://purl.bioontology.org/ontology/ATC/V03AE02>	20
<http://purl.bioontology.org/ontology/ATC/G03AB08>	90
<http://purl.bioontology.org/ontology/ATC/A02BX13>	10
<http://purl.bioontology.org/ontology/ATC/C08CA12>	9
<http://purl.bioontology.org/ontology/ATC/A10BD24>	31
<http://purl.bioontology.org/ontology/ATC/N04BC04>	32
<http://purl.bioontology.org/ontology/ATC/N03AF02>	48
<http://purl.bioontology.org/ontology/ATC/G04BE03>	88
<http://purl.bioontology.org/ontology/ATC/C01BA02>	30
<http://purl.bioontology.org/ontology/ATC/V01AA02>	140
<http://purl.bioontology.org/ontology/ATC/V03AE05>	21
<http://purl.bioontology.org/ontology/ATC/N05BE01>	40
<http://purl.bioontology.org/ontology/ATC/A10AD04>	15
<http://purl.bioontology.org/ontology/ATC/L01DB02>	54
<http://purl.bioontology.org/ontology/ATC/L01BA01>	141
<http://purl.bioontology.org/ontology/ATC/A10BK04>	23
<http://purl.bioontology.org/ontology/ATC/V03AB21>	7
<http://purl.bioontology.org/ontology/ATC/J01XX09>	67
<http://purl.bioontology.org/ontology/ATC/J05AX31>	11
<http://purl.bioontology.org/ontology/ATC/J07BC02>	67
<http://purl.bioontology.org/ontology/ATC/J05AE10>	124
<http://purl.bioontology.org/ontology/ATC/J07BK01>	83
<http://purl.bioontology.org/ontology/ATC/B05XA01>	14
<http://purl.bioontology.org/ontology/ATC/A10BK03>	28
<http://purl.bioontology.org/ontology/ATC/L01BC02>	109
<http://purl.bioontology.org/ontology/ATC/N06AB04>	90
<http://purl.bioontology.org/ontology/ATC/C09AA03>	73
<http://purl.bioontology.org/ontology/ATC/N05AH02>	97
<http://purl.bioontology.org/ontology/ATC/L04AB04>	135
<http://purl.bioontology.org/ontology/ATC/C01CE03>	13
<http://purl.bioontology.org/ontology/ATC/G04CA02>	28
<http://purl.bioontology.org/ontology/ATC/N06AB03>	95
<http://purl.bioontology.org/ontology/ATC/J07BA01>	67
<http://purl.bioontology.org/ontology/ATC/C09AA04>	60
<http://purl.bioontology.org/ontology/ATC/J05AR09>	51
<http://purl.bioontology.org/ontology/ATC/M04AC01>	20
<http://purl.bioontology.org/ontology/ATC/G03AA12>	56
<http://purl.bioontology.org/ontology/ATC/B01AE07>	35
<http://purl.bioontology.org/ontology/ATC/H02AB02>	80
<http://purl.bioontology.org/ontology/ATC/C02CA04>	67
<http://purl.bioontology.org/ontology/ATC/M05BX05>	27
<http://purl.bioontology.org/ontology/ATC/J05AP57>	10
<http://purl.bioontology.org/ontology/ATC/J01CE01>	68
<http://purl.bioontology.org/ontology/ATC/L04AD01>	54
<http://purl.bioontology.org/ontology/ATC/B03AA07>	20
<http://purl.bioontology.org/ontology/ATC/N05AF03>	51
<http://purl.bioontology.org/ontology/ATC/J07AX01>	16
<http://purl.bioontology.org/ontology/ATC/J07BM03>	28
<http://purl.bioontology.org/ontology/ATC/L01EX07>	160
<http://purl.bioontology.org/ontology/ATC/C10BA02>	74
<http://purl.bioontology.org/ontology/ATC/N02BA01>	63
<http://purl.bioontology.org/ontology/ATC/A14AB01>	42
<http://purl.bioontology.org/ontology/ATC/C01CA02>	10
<http://purl.bioontology.org/ontology/ATC/M01AB16>	61
<http://purl.bioontology.org/ontology/ATC/A12BA02>	7
<http://purl.bioontology.org/ontology/ATC/C10BA05>	72
<http://purl.bioontology.org/ontology/ATC/C02AB01>	56
<http://purl.bioontology.org/ontology/ATC/M09AX03>	13
<http://purl.bioontology.org/ontology/ATC/G03BA03>	83
<http://purl.bioontology.org/ontology/ATC/N02BE01>	53
<http://purl.bioontology.org/ontology/ATC/C01CE02>	18
<http://purl.bioontology.org/ontology/ATC/B01AC04>	72
<http://purl.bioontology.org/ontology/ATC/L04AB05>	110
<http://purl.bioontology.org/ontology/ATC/A10BA02>	18
<http://purl.bioontology.org/ontology/ATC/A07AA12>	14
<http://purl.bioontology.org/ontology/ATC/L02BA01>	52
<http://purl.bioontology.org/ontology/ATC/G04CA03>	44
<http://purl.bioontology.org/ontology/ATC/J05AR08>	54
<http://purl.bioontology.org/ontology/ATC/C09AA05>	89
<http://purl.bioontology.org/ontology/ATC/G04CA04>	22
<http://purl.bioontology.org/ontology/ATC/L04AB02>	154
<http://purl.bioontology.org/ontology/ATC/C03CA02>	56
<http://purl.bioontology.org/ontology/ATC/N06AB05>	76
<http://purl.bioontology.org/ontology/ATC/N05AH03>	68
<http://purl.bioontology.org/ontology/ATC/C09AA02>	90
<http://purl.bioontology.org/ontology/ATC/A01AB09>	19
<http://purl.bioontology.org/ontology/ATC/J02AB02>	46
<http://purl.bioontology.org/ontology/ATC/B01AA07>	12
<http://purl.bioontology.org/ontology/ATC/J05AR06>	79
<http://purl.bioontology.org/ontology/ATC/L01XF03>	66
<http://purl.bioontology.org/ontology/ATC/A10BK02>	34
<http://purl.bioontology.org/ontology/ATC/D11AX10>	18
<http://purl.bioontology.org/ontology/ATC/J05AR01>	27
<http://purl.bioontology.org/ontology/ATC/L01DB03>	56
<http://purl.bioontology.org/ontology/ATC/L01EX01>	125
<http://purl.bioontology.org/ontology/ATC/A12BA03>	4
<http://purl.bioontology.org/ontology/ATC/N05AD01>	77
<http://purl.bioontology.org/ontology/ATC/J07BM02>	24
<http://purl.bioontology.org/ontology/ATC/M04AA03>	117
<http://purl.bioontology.org/ontology/ATC/C10BA03>	60
<http://purl.bioontology.org/ontology/ATC/J07AP03>	18
<http://purl.bioontology.org/ontology/ATC/N05AN01>	78
<http://purl.bioontology.org/ontology/ATC/B05BB02>	16
<http://purl.bioontology.org/ontology/ATC/L02BG04>	69
<http://purl.bioontology.org/ontology/ATC/G03AA14>	33
<http://purl.bioontology.org/ontology/ATC/G04BD12>	23
<http://purl.bioontology.org/ontology/ATC/H02AB04>	97
<http://purl.bioontology.org/ontology/ATC/J05AP56>	11
<http://purl.bioontology.org/ontology/ATC/N05AD08>	42
<http://purl.bioontology.org/ontology/ATC/J05AP51>	4
<http://purl.bioontology.org/ontology/ATC/N07XX07>	26
<http://purl.bioontology.org/ontology/ATC/G03AA13>	54
<http://purl.bioontology.org/ontology/ATC/L01XJ01>	29
<http://purl.bioontology.org/ontology/ATC/C09AA15>	58
<http://purl.bioontology.org/ontology/ATC/J05AR18>	25
<http://purl.bioontology.org/ontology/ATC/J05AE30>	17
<http://purl.bioontology.org/ontology/ATC/L01AA01>	119
<http://purl.bioontology.org/ontology/ATC/M03AB01>	20
<http://purl.bioontology.org/ontology/ATC/L01EC03>	63
<http://purl.bioontology.org/ontology/ATC/J01DC02>	19
<http://purl.bioontology.org/ontology/ATC/J05AX29>	23
<http://purl.bioontology.org/ontology/ATC/J05AE08>	81
<http://purl.bioontology.org/ontology/ATC/J05AR20>	27
<http://purl.bioontology.org/ontology/ATC/A10AE56>	27
<http://purl.bioontology.org/ontology/ATC/C03DA05>	5
<http://purl.bioontology.org/ontology/ATC/M05BA02>	21
<http://purl.bioontology.org/ontology/ATC/L01AA06>	91
<http://purl.bioontology.org/ontology/ATC/J05AG05>	26
<http://purl.bioontology.org/ontology/ATC/C09BA03>	90
<http://purl.bioontology.org/ontology/ATC/C01BD05>	12
<http://purl.bioontology.org/ontology/ATC/C07AG01>	25
<http://purl.bioontology.org/ontology/ATC/J05AX18>	10
<http://purl.bioontology.org/ontology/ATC/C09BA04>	72
<http://purl.bioontology.org/ontology/ATC/J01XE01>	49
<http://purl.bioontology.org/ontology/ATC/B01AC22>	12
<http://purl.bioontology.org/ontology/ATC/R03AC18>	19
<http://purl.bioontology.org/ontology/ATC/C10AC01>	31
<http://purl.bioontology.org/ontology/ATC/C02KX01>	21
<http://purl.bioontology.org/ontology/ATC/C01EB17>	22
<http://purl.bioontology.org/ontology/ATC/C02DC01>	15
<http://purl.bioontology.org/ontology/ATC/L01EG02>	104
<http://purl.bioontology.org/ontology/ATC/L01CD01>	140
<http://purl.bioontology.org/ontology/ATC/J04AM02>	90
<http://purl.bioontology.org/ontology/ATC/N02AA01>	88
<http://purl.bioontology.org/ontology/ATC/B05XC>	14
<http://purl.bioontology.org/ontology/ATC/L01EX18>	77
<http://purl.bioontology.org/ontology/ATC/C10AA05>	63
<http://purl.bioontology.org/ontology/ATC/R03AK12>	18
<http://purl.bioontology.org/ontology/ATC/A10AE05>	20
<http://purl.bioontology.org/ontology/ATC/H02AB13>	41
<http://purl.bioontology.org/ontology/ATC/H05BX01>	25
<http://purl.bioontology.org/ontology/ATC/C09BA05>	105
<http://purl.bioontology.org/ontology/ATC/N01AX10>	41
<http://purl.bioontology.org/ontology/ATC/L01AA09>	74
<http://purl.bioontology.org/ontology/ATC/J05AR10>	97
<http://purl.bioontology.org/ontology/ATC/L01XY01>	41
<http://purl.bioontology.org/ontology/ATC/J05AE07>	28
<http://purl.bioontology.org/ontology/ATC/M01AB55>	91
<http://purl.bioontology.org/ontology/ATC/C09DB01>	38
<http://purl.bioontology.org/ontology/ATC/L03AX10>	6
<http://purl.bioontology.org/ontology/ATC/C09BA02>	106
<http://purl.bioontology.org/ontology/ATC/B01AC24>	35
<http://purl.bioontology.org/ontology/ATC/L01EA01>	171
<http://purl.bioontology.org/ontology/ATC/C03DA04>	31
<http://purl.bioontology.org/ontology/ATC/M05BA03>	77
<http://purl.bioontology.org/ontology/ATC/A10AC01>	24
<http://purl.bioontology.org/ontology/ATC/J05AR21>	39
<http://purl.bioontology.org/ontology/ATC/J05AR19>	40
<http://purl.bioontology.org/ontology/ATC/C01DX22>	6
<http://purl.bioontology.org/ontology/ATC/L01EC02>	84
<http://purl.bioontology.org/ontology/ATC/A07EC01>	69
<http://purl.bioontology.org/ontology/ATC/M05BA04>	41
<http://purl.bioontology.org/ontology/ATC/A10AE04>	20
<http://purl.bioontology.org/ontology/ATC/C10AA04>	36
<http://purl.bioontology.org/ontology/ATC/L01EM03>	54
<http://purl.bioontology.org/ontology/ATC/N03AX11>	101
<http://purl.bioontology.org/ontology/ATC/P01BA02>	58
<http://purl.bioontology.org/ontology/ATC/R03AK14>	18
<http://purl.bioontology.org/ontology/ATC/C10AA03>	47
<http://purl.bioontology.org/ontology/ATC/J07AE01>	28
<http://purl.bioontology.org/ontology/ATC/C01CA24>	34
<http://purl.bioontology.org/ontology/ATC/A12AA04>	12
<http://purl.bioontology.org/ontology/ATC/M01AH01>	96
<http://purl.bioontology.org/ontology/ATC/J01XA01>	32
<http://purl.bioontology.org/ontology/ATC/A10BX02>	12
<http://purl.bioontology.org/ontology/ATC/V03AF06>	16
<http://purl.bioontology.org/ontology/ATC/P01BC01>	42
<http://purl.bioontology.org/ontology/ATC/C08DB01>	48
<http://purl.bioontology.org/ontology/ATC/C01EB16>	16
<http://purl.bioontology.org/ontology/ATC/C07AA05>	58
<http://purl.bioontology.org/ontology/ATC/N03AE01>	54
<http://purl.bioontology.org/ontology/ATC/A02BD04>	95
<http://purl.bioontology.org/ontology/ATC/R03AC19>	21
<http://purl.bioontology.org/ontology/ATC/C01DA02>	22
<http://purl.bioontology.org/ontology/ATC/M01AB01>	85
<http://purl.bioontology.org/ontology/ATC/J01AA08>	69
<http://purl.bioontology.org/ontology/ATC/J05AF13>	14
<http://purl.bioontology.org/ontology/ATC/R03AL01>	44
<http://purl.bioontology.org/ontology/ATC/M03AC10>	6
<http://purl.bioontology.org/ontology/ATC/L01XX27>	50
<http://purl.bioontology.org/ontology/ATC/N06AA09>	102
<http://purl.bioontology.org/ontology/ATC/A08AB01>	39
<http://purl.bioontology.org/ontology/ATC/A10BB09>	23
<http://purl.bioontology.org/ontology/ATC/C09CA02>	27
<http://purl.bioontology.org/ontology/ATC/L01BB02>	29
<http://purl.bioontology.org/ontology/ATC/N05AA01>	24
<http://purl.bioontology.org/ontology/ATC/R03AL06>	40
<http://purl.bioontology.org/ontology/ATC/A10BJ03>	20
<http://purl.bioontology.org/ontology/ATC/J07BB02>	48
<http://purl.bioontology.org/ontology/ATC/H03AA01>	38
<http://purl.bioontology.org/ontology/ATC/G04CB01>	18
<http://purl.bioontology.org/ontology/ATC/L02BB03>	36
<http://purl.bioontology.org/ontology/ATC/A02AA04>	10
<http://purl.bioontology.org/ontology/ATC/J02AC03>	129
<http://purl.bioontology.org/ontology/ATC/R03AL08>	30
<http://purl.bioontology.org/ontology/ATC/J02AC04>	105
<http://purl.bioontology.org/ontology/ATC/L02BB04>	30
<http://purl.bioontology.org/ontology/ATC/J01AA01>	41
<http://purl.bioontology.org/ontology/ATC/A10BD05>	23
<http://purl.bioontology.org/ontology/ATC/J01EE01>	78
<http://purl.bioontology.org/ontology/ATC/B01AF03>	21
<http://purl.bioontology.org/ontology/ATC/H01CB02>	43
<http://purl.bioontology.org/ontology/ATC/N05CD01>	18
<http://purl.bioontology.org/ontology/ATC/C02AC01>	24
<http://purl.bioontology.org/ontology/ATC/N05CD06>	35
<http://purl.bioontology.org/ontology/ATC/A10BD02>	26
<http://purl.bioontology.org/ontology/ATC/C07BB07>	65
<http://purl.bioontology.org/ontology/ATC/J01MA02>	111
<http://purl.bioontology.org/ontology/ATC/N06AX16>	82
<http://purl.bioontology.org/ontology/ATC/C09DX03>	29
<http://purl.bioontology.org/ontology/ATC/C08CA02>	24
<http://purl.bioontology.org/ontology/ATC/A10BF01>	17
<http://purl.bioontology.org/ontology/ATC/M04AB01>	21
<http://purl.bioontology.org/ontology/ATC/R07AX02>	27
<http://purl.bioontology.org/ontology/ATC/N02BB02>	38
<http://purl.bioontology.org/ontology/ATC/J07BF03>	9
<http://purl.bioontology.org/ontology/ATC/C09DX04>	23
<http://purl.bioontology.org/ontology/ATC/N05CD08>	68
<http://purl.bioontology.org/ontology/ATC/C08CA05>	48
<http://purl.bioontology.org/ontology/ATC/R03AL09>	72
<http://purl.bioontology.org/ontology/ATC/A10BJ05>	26
<http://purl.bioontology.org/ontology/ATC/J07BD52>	38
<http://purl.bioontology.org/ontology/ATC/L01DC03>	43
<http://purl.bioontology.org/ontology/ATC/J02AC05>	56
<http://purl.bioontology.org/ontology/ATC/J01GB03>	66
<http://purl.bioontology.org/ontology/ATC/L02BB05>	25
<http://purl.bioontology.org/ontology/ATC/A10BJ02>	41
<http://purl.bioontology.org/ontology/ATC/L02BB02>	21
