?s	?totalEdges
<http://purl.bioontology.org/ontology/ATC/B03XA01>	29
<http://purl.bioontology.org/ontology/ATC/L01EB04>	3
<http://purl.bioontology.org/ontology/ATC/B03XA08>	2
<http://purl.bioontology.org/ontology/ATC/J01FA09>	18
<http://purl.bioontology.org/ontology/ATC/N05BA08>	2
<http://purl.bioontology.org/ontology/ATC/C09DA04>	2
<http://purl.bioontology.org/ontology/ATC/V03AC01>	15
<http://purl.bioontology.org/ontology/ATC/J07CA09>	6
<http://purl.bioontology.org/ontology/ATC/C09DA03>	2
<http://purl.bioontology.org/ontology/ATC/P01BF01>	1
<http://purl.bioontology.org/ontology/ATC/J07AJ52>	2
<http://purl.bioontology.org/ontology/ATC/C10AB08>	3
<http://purl.bioontology.org/ontology/ATC/V01AA03>	12
<http://purl.bioontology.org/ontology/ATC/V03AE04>	3
<http://purl.bioontology.org/ontology/ATC/M03BX02>	10
<http://purl.bioontology.org/ontology/ATC/L01EL02>	1
<http://purl.bioontology.org/ontology/ATC/L01ED01>	5
<http://purl.bioontology.org/ontology/ATC/A10AD05>	2
<http://purl.bioontology.org/ontology/ATC/C08CA13>	2
<http://purl.bioontology.org/ontology/ATC/V03AE03>	6
<http://purl.bioontology.org/ontology/ATC/C07AB07>	4
<http://purl.bioontology.org/ontology/ATC/C01BA03>	3
<http://purl.bioontology.org/ontology/ATC/N02AJ06>	11
<http://purl.bioontology.org/ontology/ATC/R03DA04>	1
<http://purl.bioontology.org/ontology/ATC/L01EF02>	3
<http://purl.bioontology.org/ontology/ATC/J01MA14>	19
<http://purl.bioontology.org/ontology/ATC/C07AB09>	5
<http://purl.bioontology.org/ontology/ATC/C04AB01>	3
<http://purl.bioontology.org/ontology/ATC/C09XA02>	2
<http://purl.bioontology.org/ontology/ATC/N05AX08>	12
<http://purl.bioontology.org/ontology/ATC/A10AB06>	2
<http://purl.bioontology.org/ontology/ATC/N06AA21>	1
<http://purl.bioontology.org/ontology/ATC/L01EB02>	4
<http://purl.bioontology.org/ontology/ATC/L01CA01>	3
<http://purl.bioontology.org/ontology/ATC/R03AL11>	1
<http://purl.bioontology.org/ontology/ATC/C09DA02>	2
<http://purl.bioontology.org/ontology/ATC/A10AB01>	5
<http://purl.bioontology.org/ontology/ATC/N05BA09>	4
<http://purl.bioontology.org/ontology/ATC/A02BC01>	8
<http://purl.bioontology.org/ontology/ATC/J01FA01>	16
<http://purl.bioontology.org/ontology/ATC/J04AB02>	8
<http://purl.bioontology.org/ontology/ATC/N06AA10>	3
