?o	?totalEdges
<http://snomed.info/id/399963005>	2
<http://snomed.info/id/234422006>	1
<http://snomed.info/id/1208969008>	1
<http://snomed.info/id/449759005>	2
<http://snomed.info/id/194821006>	1
<http://snomed.info/id/95376002>	1
<http://snomed.info/id/423062001>	1
<http://snomed.info/id/162479007>	1
<http://snomed.info/id/260046006>	6
<http://snomed.info/id/402922003>	4
<http://snomed.info/id/1156294003>	4
<http://snomed.info/id/442113000>	1
<http://snomed.info/id/42513006>	3
<http://snomed.info/id/50792001>	1
<http://snomed.info/id/370956008>	1
<http://snomed.info/id/133031000119106>	1
<http://snomed.info/id/36561000146103>	2
<http://snomed.info/id/439470001>	1
<http://snomed.info/id/14907004>	6
<http://snomed.info/id/313341008>	9
<http://snomed.info/id/720822008>	7
<http://snomed.info/id/268664001>	6
<http://snomed.info/id/129839007>	7
<http://snomed.info/id/76069003>	1
<http://snomed.info/id/95389008>	2
<http://snomed.info/id/76627001>	1
<http://snomed.info/id/103262002>	1
<http://snomed.info/id/65194006>	5
<http://snomed.info/id/247706003>	3
<http://snomed.info/id/141981000146100>	2
<http://snomed.info/id/247323005>	9
<http://snomed.info/id/95367009>	5
<http://snomed.info/id/80068009>	7
<http://snomed.info/id/890091002>	4
<http://snomed.info/id/36649002>	2
<http://snomed.info/id/128477000>	20
<http://snomed.info/id/95382004>	3
<http://snomed.info/id/235599003>	2
<http://snomed.info/id/1141793000>	5
<http://snomed.info/id/789007001>	3
<http://snomed.info/id/1010234007>	2
<http://snomed.info/id/283122008>	2
<http://snomed.info/id/10890000>	1
<http://snomed.info/id/267103008>	3
<http://snomed.info/id/59026006>	6
<http://snomed.info/id/30233002>	7
<http://snomed.info/id/64144002>	4
<http://snomed.info/id/36269003>	2
<http://snomed.info/id/1141007>	10
<http://snomed.info/id/109771000>	2
<http://snomed.info/id/266343004>	1
<http://snomed.info/id/103281005>	2
<http://snomed.info/id/31661000146106>	2
<http://snomed.info/id/30118000>	3
<http://snomed.info/id/162452008>	2
<http://snomed.info/id/162454009>	2
<http://snomed.info/id/66978005>	12
<http://snomed.info/id/221360009>	1
<http://snomed.info/id/1285639002>	1
<http://snomed.info/id/278694008>	2
<http://snomed.info/id/12184005>	4
<http://snomed.info/id/722223000>	1
<http://snomed.info/id/50257008>	1
<http://snomed.info/id/425507004>	2
<http://snomed.info/id/735539005>	11
<http://snomed.info/id/2121000124101>	5
<http://snomed.info/id/788978004>	7
<http://snomed.info/id/89138009>	5
<http://snomed.info/id/237636001>	1
<http://snomed.info/id/443265004>	8
<http://snomed.info/id/77470003>	2
<http://snomed.info/id/275742001>	3
<http://snomed.info/id/32709003>	4
<http://snomed.info/id/231439009>	2
<http://snomed.info/id/840358001>	2
<http://snomed.info/id/361137007>	1
<http://snomed.info/id/56727007>	1
<http://snomed.info/id/6624005>	5
<http://snomed.info/id/271719001>	3
<http://snomed.info/id/414469009>	1
<http://snomed.info/id/720460007>	1
<http://snomed.info/id/400964006>	1
<http://snomed.info/id/1234768002>	1
<http://snomed.info/id/109467004>	1
<http://snomed.info/id/386673006>	1
<http://snomed.info/id/414024009>	3
<http://snomed.info/id/397829000>	5
<http://snomed.info/id/61277005>	1
<http://snomed.info/id/165432004>	1
<http://snomed.info/id/165413005>	7
<http://snomed.info/id/365756002>	2
<http://snomed.info/id/236659004>	1
<http://snomed.info/id/444848005>	2
<http://snomed.info/id/203021000>	2
<http://snomed.info/id/61700007>	1
<http://snomed.info/id/762656009>	3
<http://snomed.info/id/164951009>	2
<http://snomed.info/id/164956004>	2
<http://snomed.info/id/445309007>	1
<http://snomed.info/id/51209006>	1
<http://snomed.info/id/85579005>	1
<http://snomed.info/id/249478008>	2
<http://snomed.info/id/238909003>	1
<http://snomed.info/id/1335931001>	1
<http://snomed.info/id/193553001>	1
<http://snomed.info/id/161719001>	2
<http://snomed.info/id/66779006>	1
<http://snomed.info/id/860816004>	5
<http://snomed.info/id/240042004>	8
<http://snomed.info/id/62731002>	1
<http://snomed.info/id/274521009>	2
<http://snomed.info/id/5888003>	6
<http://snomed.info/id/88151007>	2
<http://snomed.info/id/302896008>	2
<http://snomed.info/id/231898006>	1
<http://snomed.info/id/370569000>	6
<http://snomed.info/id/278040002>	16
<http://snomed.info/id/236016008>	1
<http://snomed.info/id/396989009>	1
<http://snomed.info/id/128192007>	3
<http://snomed.info/id/445217002>	1
<http://snomed.info/id/279058003>	1
<http://snomed.info/id/426555006>	1
<http://snomed.info/id/302912005>	2
<http://snomed.info/id/2055003>	1
<http://snomed.info/id/231929005>	1
<http://snomed.info/id/62484002>	4
<http://snomed.info/id/84326006>	1
<http://snomed.info/id/17276009>	3
<http://snomed.info/id/448921000>	2
<http://snomed.info/id/15631251000119109>	1
<http://snomed.info/id/430801000124103>	1
<http://snomed.info/id/2538008>	1
<http://snomed.info/id/396347007>	1
<http://snomed.info/id/127294003>	2
<http://snomed.info/id/840635008>	4
<http://snomed.info/id/409068001>	1
<http://snomed.info/id/11403006>	1
<http://snomed.info/id/39221000146103>	1
<http://snomed.info/id/129895003>	1
<http://snomed.info/id/700097003>	3
<http://snomed.info/id/235753003>	7
<http://snomed.info/id/255169005>	2
<http://snomed.info/id/441456002>	7
<http://snomed.info/id/31641000146105>	3
<http://snomed.info/id/50448004>	2
<http://snomed.info/id/239891002>	6
<http://snomed.info/id/266438007>	1
<http://snomed.info/id/275318002>	1
<http://snomed.info/id/162471005>	11
<http://snomed.info/id/246975001>	2
<http://snomed.info/id/289554001>	1
<http://snomed.info/id/300477005>	1
<http://snomed.info/id/866264008>	3
<http://snomed.info/id/277907006>	1
<http://snomed.info/id/703630003>	3
<http://snomed.info/id/51292008>	1
<http://snomed.info/id/64249002>	2
<http://snomed.info/id/73320003>	10
<http://snomed.info/id/32093003>	3
<http://snomed.info/id/363732003>	1
<http://snomed.info/id/47821001>	2
<http://snomed.info/id/56268004>	1
<http://snomed.info/id/162467007>	1
<http://snomed.info/id/722969006>	2
<http://snomed.info/id/229712006>	1
<http://snomed.info/id/394924000>	6
<http://snomed.info/id/282972001>	1
<http://snomed.info/id/157101000146100>	1
<http://snomed.info/id/71906005>	3
<http://snomed.info/id/60555002>	7
<http://snomed.info/id/72893007>	1
<http://snomed.info/id/424278001>	2
<http://snomed.info/id/414155001>	1
<http://snomed.info/id/289496000>	7
<http://snomed.info/id/2070002>	2
<http://snomed.info/id/1259044009>	2
<http://snomed.info/id/363677007>	1
<http://snomed.info/id/300997008>	1
<http://snomed.info/id/19471005>	4
<http://snomed.info/id/302062002>	1
<http://snomed.info/id/63503002>	1
<http://snomed.info/id/20602000>	1
<http://snomed.info/id/398665005>	3
<http://snomed.info/id/83547004>	5
<http://snomed.info/id/1148901006>	1
<http://snomed.info/id/103018003>	1
<http://snomed.info/id/231496004>	5
<http://snomed.info/id/53277000>	5
<http://snomed.info/id/44882003>	5
<http://snomed.info/id/131124000>	2
<http://snomed.info/id/131126003>	2
<http://snomed.info/id/52486002>	10
<http://snomed.info/id/238399000>	5
<http://snomed.info/id/782935003>	2
<http://snomed.info/id/66789005>	4
<http://snomed.info/id/860888005>	1
<http://snomed.info/id/68172002>	4
<http://snomed.info/id/264776004>	1
<http://snomed.info/id/84480002>	5
<http://snomed.info/id/194439006>	1
<http://snomed.info/id/64109004>	1
<http://snomed.info/id/415116008>	7
<http://snomed.info/id/737222005>	5
<http://snomed.info/id/421725003>	2
<http://snomed.info/id/44169009>	3
<http://snomed.info/id/263134008>	1
<http://snomed.info/id/1137438000>	2
<http://snomed.info/id/424413001>	5
<http://snomed.info/id/38907003>	8
<http://snomed.info/id/200941000146108>	1
<http://snomed.info/id/285432005>	5
<http://snomed.info/id/445448008>	1
<http://snomed.info/id/167923006>	1
<http://snomed.info/id/418186002>	3
<http://snomed.info/id/95577005>	3
<http://snomed.info/id/28998008>	3
<http://snomed.info/id/91855006>	4
<http://snomed.info/id/410471004>	1
<http://snomed.info/id/8619003>	10
<http://snomed.info/id/240415007>	2
<http://snomed.info/id/95880003>	3
<http://snomed.info/id/721104000>	6
<http://snomed.info/id/230478000>	9
<http://snomed.info/id/763284001>	3
<http://snomed.info/id/443257002>	2
<http://snomed.info/id/704370008>	1
<http://snomed.info/id/290082005>	2
<http://snomed.info/id/249531009>	2
<http://snomed.info/id/103264001>	1
<http://snomed.info/id/182879007>	2
<http://snomed.info/id/370485008>	2
<http://snomed.info/id/271767006>	1
<http://snomed.info/id/283085005>	1
<http://snomed.info/id/298105007>	1
<http://snomed.info/id/182878004>	4
<http://snomed.info/id/67991000119104>	1
<http://snomed.info/id/247427007>	7
<http://snomed.info/id/5149003>	2
<http://snomed.info/id/238715009>	1
<http://snomed.info/id/445506004>	1
<http://snomed.info/id/416473005>	1
<http://snomed.info/id/416189003>	1
<http://snomed.info/id/200722003>	2
<http://snomed.info/id/6071000119100>	1
<http://snomed.info/id/162456006>	2
<http://snomed.info/id/82118009>	3
<http://snomed.info/id/308923001>	1
<http://snomed.info/id/111704000>	1
<http://snomed.info/id/247858004>	1
<http://snomed.info/id/418035005>	3
<http://snomed.info/id/86341008>	3
<http://snomed.info/id/271825005>	1
<http://snomed.info/id/399044006>	5
<http://snomed.info/id/161874006>	4
<http://snomed.info/id/41497008>	6
<http://snomed.info/id/846686009>	14
<http://snomed.info/id/863907000>	2
<http://snomed.info/id/247381009>	4
<http://snomed.info/id/29384001>	2
<http://snomed.info/id/85942002>	2
<http://snomed.info/id/235683000>	3
<http://snomed.info/id/735593008>	1
<http://snomed.info/id/249734003>	3
<http://snomed.info/id/406103009>	1
<http://snomed.info/id/73391008>	2
<http://snomed.info/id/146801000119103>	2
<http://snomed.info/id/289805000>	1
<http://snomed.info/id/47382004>	1
<http://snomed.info/id/416770009>	1
<http://snomed.info/id/370565006>	4
<http://snomed.info/id/73595000>	12
<http://snomed.info/id/103269006>	2
<http://snomed.info/id/275517008>	1
<http://snomed.info/id/20824003>	1
<http://snomed.info/id/274667000>	5
<http://snomed.info/id/399257006>	3
<http://snomed.info/id/248952001>	1
<http://snomed.info/id/248980004>	1
<http://snomed.info/id/88294009>	1
<http://snomed.info/id/21420006>	4
<http://snomed.info/id/105975006>	2
<http://snomed.info/id/71884009>	3
<http://snomed.info/id/1187198009>	6
<http://snomed.info/id/300981003>	1
<http://snomed.info/id/372947007>	3
<http://snomed.info/id/139474008>	1
<http://snomed.info/id/704369007>	6
<http://snomed.info/id/308921004>	2
<http://snomed.info/id/74411000>	1
<http://snomed.info/id/4557003>	4
<http://snomed.info/id/230509007>	3
<http://snomed.info/id/131182003>	1
<http://snomed.info/id/287046004>	1
<http://snomed.info/id/310501001>	2
<http://snomed.info/id/267041004>	2
<http://snomed.info/id/404659001>	3
<http://snomed.info/id/95691008>	1
<http://snomed.info/id/70323002>	4
<http://snomed.info/id/15013002>	3
<http://snomed.info/id/95798008>	1
<http://snomed.info/id/248461006>	1
<http://snomed.info/id/103252009>	1
<http://snomed.info/id/15203004>	1
<http://snomed.info/id/44103008>	2
<http://snomed.info/id/43275000>	3
<http://snomed.info/id/1475003>	1
<http://snomed.info/id/225564006>	2
<http://snomed.info/id/301356002>	1
<http://snomed.info/id/16459000>	6
<http://snomed.info/id/402301004>	3
<http://snomed.info/id/346651000119109>	3
<http://snomed.info/id/36859004>	2
<http://snomed.info/id/473009005>	1
<http://snomed.info/id/118938008>	2
<http://snomed.info/id/445088006>	8
<http://snomed.info/id/89225005>	1
<http://snomed.info/id/162360008>	1
<http://snomed.info/id/403441003>	2
<http://snomed.info/id/283121001>	2
<http://snomed.info/id/712488005>	1
<http://snomed.info/id/46689006>	1
<http://snomed.info/id/300874009>	1
<http://snomed.info/id/55985003>	1
<http://snomed.info/id/1338041004>	1
<http://snomed.info/id/84178004>	4
<http://snomed.info/id/82228008>	1
<http://snomed.info/id/135843006>	2
<http://snomed.info/id/225440008>	6
<http://snomed.info/id/305490001>	1
<http://snomed.info/id/267055007>	3
<http://snomed.info/id/278679009>	1
<http://snomed.info/id/1264034006>	5
<http://snomed.info/id/420990001>	1
<http://snomed.info/id/46701001>	1
<http://snomed.info/id/756003>	1
<http://snomed.info/id/195518005>	2
<http://snomed.info/id/403682007>	2
<http://snomed.info/id/15296000>	1
<http://snomed.info/id/19943007>	4
<http://snomed.info/id/13645005>	6
<http://snomed.info/id/240475000>	2
<http://snomed.info/id/64613007>	3
<http://snomed.info/id/721804002>	1
<http://snomed.info/id/249418002>	3
<http://snomed.info/id/35688006>	2
<http://snomed.info/id/197321007>	6
<http://snomed.info/id/130987000>	1
<http://snomed.info/id/16561007>	2
<http://snomed.info/id/400020001>	1
<http://snomed.info/id/276322001>	1
<http://snomed.info/id/473091000>	1
<http://snomed.info/id/721591008>	2
<http://snomed.info/id/108371000119108>	2
<http://snomed.info/id/430535006>	4
<http://snomed.info/id/87486003>	10
<http://snomed.info/id/409624004>	3
<http://snomed.info/id/48522003>	4
<http://snomed.info/id/32230006>	1
<http://snomed.info/id/240197007>	2
<http://snomed.info/id/1269214001>	2
<http://snomed.info/id/437986008>	5
<http://snomed.info/id/429783005>	2
<http://snomed.info/id/420103007>	2
<http://snomed.info/id/789554009>	1
<http://snomed.info/id/119250001>	5
<http://snomed.info/id/277466009>	5
<http://snomed.info/id/29227009>	2
<http://snomed.info/id/12962009>	4
<http://snomed.info/id/69741000>	2
<http://snomed.info/id/72605008>	4
<http://snomed.info/id/289857000>	2
<http://snomed.info/id/3716002>	5
<http://snomed.info/id/57777000>	1
<http://snomed.info/id/43153006>	2
<http://snomed.info/id/95406004>	2
<http://snomed.info/id/247341002>	2
<http://snomed.info/id/109593008>	1
<http://snomed.info/id/98921000119102>	1
<http://snomed.info/id/403457003>	2
<http://snomed.info/id/12463005>	1
<http://snomed.info/id/41370002>	4
<http://snomed.info/id/735643002>	2
<http://snomed.info/id/309080005>	4
<http://snomed.info/id/47922009>	2
<http://snomed.info/id/166627004>	2
<http://snomed.info/id/89322006>	1
<http://snomed.info/id/416054002>	1
<http://snomed.info/id/10624951000119108>	1
<http://snomed.info/id/53726008>	1
<http://snomed.info/id/785728005>	1
<http://snomed.info/id/235224000>	1
<http://snomed.info/id/2897005>	3
<http://snomed.info/id/16631009>	4
<http://snomed.info/id/128939001>	2
<http://snomed.info/id/239783001>	1
<http://snomed.info/id/386584007>	11
<http://snomed.info/id/95384003>	3
<http://snomed.info/id/45816000>	9
<http://snomed.info/id/56051008>	4
<http://snomed.info/id/444094009>	2
<http://snomed.info/id/164861001>	3
<http://snomed.info/id/21821000146100>	4
<http://snomed.info/id/1153452008>	1
<http://snomed.info/id/101281000119107>	5
<http://snomed.info/id/236799006>	1
<http://snomed.info/id/131092009>	1
<http://snomed.info/id/131095006>	1
<http://snomed.info/id/764456001>	3
<http://snomed.info/id/765170001>	1
<http://snomed.info/id/762397008>	1
<http://snomed.info/id/827008005>	1
<http://snomed.info/id/385516009>	1
<http://snomed.info/id/200854003>	1
<http://snomed.info/id/19660004>	1
<http://snomed.info/id/102517009>	1
<http://snomed.info/id/300895004>	6
<http://snomed.info/id/128862000>	5
<http://snomed.info/id/272030005>	1
<http://snomed.info/id/165850001>	5
<http://snomed.info/id/165468009>	5
<http://snomed.info/id/50417007>	6
<http://snomed.info/id/162439003>	1
<http://snomed.info/id/414916001>	3
<http://snomed.info/id/426525004>	1
<http://snomed.info/id/162488003>	1
<http://snomed.info/id/53827007>	4
<http://snomed.info/id/162497004>	3
<http://snomed.info/id/317226009>	7
<http://snomed.info/id/9414007>	2
<http://snomed.info/id/58849003>	1
<http://snomed.info/id/402390008>	1
<http://snomed.info/id/716180009>	1
<http://snomed.info/id/237621004>	1
<http://snomed.info/id/123598000>	1
<http://snomed.info/id/34288008>	1
<http://snomed.info/id/717822006>	1
<http://snomed.info/id/93655004>	4
<http://snomed.info/id/110278006>	2
<http://snomed.info/id/275393007>	2
<http://snomed.info/id/56717001>	8
<http://snomed.info/id/369757002>	2
<http://snomed.info/id/48277006>	1
<http://snomed.info/id/233624006>	2
<http://snomed.info/id/266071000>	1
<http://snomed.info/id/166693005>	1
<http://snomed.info/id/243338005>	1
<http://snomed.info/id/83901003>	1
<http://snomed.info/id/238604005>	3
<http://snomed.info/id/124038001>	1
<http://snomed.info/id/787723002>	3
<http://snomed.info/id/310262007>	1
<http://snomed.info/id/60826002>	2
<http://snomed.info/id/371685005>	1
<http://snomed.info/id/473072000>	1
<http://snomed.info/id/58170007>	1
<http://snomed.info/id/93880001>	2
<http://snomed.info/id/94098005>	3
<http://snomed.info/id/67362008>	1
<http://snomed.info/id/446698005>	3
<http://snomed.info/id/65390006>	8
<http://snomed.info/id/164887001>	6
<http://snomed.info/id/248782001>	2
<http://snomed.info/id/418801006>	7
<http://snomed.info/id/19829001>	5
<http://snomed.info/id/53489000>	7
<http://snomed.info/id/289542001>	3
<http://snomed.info/id/266601003>	1
<http://snomed.info/id/76742009>	1
<http://snomed.info/id/15902003>	2
<http://snomed.info/id/102835006>	2
<http://snomed.info/id/1269539009>	2
<http://snomed.info/id/86260003>	4
<http://snomed.info/id/83942000>	3
<http://snomed.info/id/1172701002>	1
<http://snomed.info/id/397420007>	1
<http://snomed.info/id/262628006>	2
<http://snomed.info/id/89415002>	1
<http://snomed.info/id/240092003>	5
<http://snomed.info/id/190634004>	1
<http://snomed.info/id/40845000>	2
<http://snomed.info/id/409657002>	1
<http://snomed.info/id/12001621000119100>	1
<http://snomed.info/id/268029009>	6
<http://snomed.info/id/704348005>	8
<http://snomed.info/id/373865001>	1
<http://snomed.info/id/417746004>	9
<http://snomed.info/id/399269003>	5
<http://snomed.info/id/3950001>	1
<http://snomed.info/id/22774003>	8
<http://snomed.info/id/274146004>	6
<http://snomed.info/id/704330001>	4
<http://snomed.info/id/11654001>	1
<http://snomed.info/id/735913001>	3
<http://snomed.info/id/57104001>	4
<http://snomed.info/id/102493007>	3
<http://snomed.info/id/95375003>	2
<http://snomed.info/id/43355006>	5
<http://snomed.info/id/237799000>	6
<http://snomed.info/id/102494001>	1
<http://snomed.info/id/275142008>	7
<http://snomed.info/id/52781000146102>	1
<http://snomed.info/id/415297005>	1
<http://snomed.info/id/192073007>	5
<http://snomed.info/id/233873004>	2
<http://snomed.info/id/1254739006>	1
<http://snomed.info/id/413839001>	1
<http://snomed.info/id/54586004>	1
<http://snomed.info/id/126765001>	2
<http://snomed.info/id/1187028004>	2
<http://snomed.info/id/92421000146100>	3
<http://snomed.info/id/713726003>	2
<http://snomed.info/id/76272004>	2
<http://snomed.info/id/301183007>	1
<http://snomed.info/id/196046009>	1
<http://snomed.info/id/306847001>	1
<http://snomed.info/id/1388004>	6
<http://snomed.info/id/239781004>	1
<http://snomed.info/id/702555007>	1
<http://snomed.info/id/276640009>	1
<http://snomed.info/id/130955003>	1
<http://snomed.info/id/715574002>	1
<http://snomed.info/id/85423005>	1
<http://snomed.info/id/69328002>	1
<http://snomed.info/id/63081000146102>	1
<http://snomed.info/id/71851009>	1
<http://snomed.info/id/1279829008>	2
<http://snomed.info/id/840642008>	1
<http://snomed.info/id/233806006>	1
<http://snomed.info/id/79877004>	1
<http://snomed.info/id/57054005>	7
<http://snomed.info/id/247566002>	4
<http://snomed.info/id/54687002>	2
<http://snomed.info/id/235741002>	2
<http://snomed.info/id/48951000146105>	1
<http://snomed.info/id/59571007>	3
<http://snomed.info/id/248190008>	1
<http://snomed.info/id/95431003>	1
<http://snomed.info/id/413585005>	1
<http://snomed.info/id/301779004>	3
<http://snomed.info/id/23006000>	5
<http://snomed.info/id/10446001>	1
<http://snomed.info/id/37831005>	1
<http://snomed.info/id/1153610005>	5
<http://snomed.info/id/713514005>	4
<http://snomed.info/id/289115009>	3
<http://snomed.info/id/285384003>	3
<http://snomed.info/id/289540009>	5
<http://snomed.info/id/238818000>	2
<http://snomed.info/id/1279530007>	2
<http://snomed.info/id/76783007>	4
<http://snomed.info/id/266569009>	3
<http://snomed.info/id/128331000119100>	1
<http://snomed.info/id/131141003>	6
<http://snomed.info/id/15160007>	1
<http://snomed.info/id/400179000>	3
<http://snomed.info/id/89493005>	1
<http://snomed.info/id/86044005>	1
<http://snomed.info/id/1153493000>	1
<http://snomed.info/id/70407001>	3
<http://snomed.info/id/1092851000119103>	1
<http://snomed.info/id/240406000>	1
<http://snomed.info/id/167256004>	1
<http://snomed.info/id/250306005>	5
<http://snomed.info/id/39575007>	1
<http://snomed.info/id/29322000>	1
<http://snomed.info/id/86514004>	3
<http://snomed.info/id/82374005>	1
<http://snomed.info/id/95550001>	1
<http://snomed.info/id/58593005>	2
<http://snomed.info/id/429561008>	1
<http://snomed.info/id/126851005>	2
<http://snomed.info/id/13724007>	1
<http://snomed.info/id/286924000>	1
<http://snomed.info/id/127062003>	5
<http://snomed.info/id/72863001>	1
<http://snomed.info/id/298292009>	1
<http://snomed.info/id/30281009>	2
<http://snomed.info/id/282360001>	1
<http://snomed.info/id/247803002>	4
<http://snomed.info/id/78975002>	1
<http://snomed.info/id/290117005>	1
<http://snomed.info/id/433234005>	1
<http://snomed.info/id/402744003>	4
<http://snomed.info/id/83330001>	2
<http://snomed.info/id/23276006>	1
<http://snomed.info/id/165427000>	3
<http://snomed.info/id/1551000146102>	7
<http://snomed.info/id/785308008>	2
<http://snomed.info/id/28293008>	2
<http://snomed.info/id/720435007>	2
<http://snomed.info/id/417941003>	3
<http://snomed.info/id/1187071008>	1
<http://snomed.info/id/271760008>	3
<http://snomed.info/id/39011001>	1
<http://snomed.info/id/30415006>	1
<http://snomed.info/id/47604008>	1
<http://snomed.info/id/78999002>	1
<http://snomed.info/id/255167007>	1
<http://snomed.info/id/233637009>	1
<http://snomed.info/id/417850002>	3
<http://snomed.info/id/102618009>	1
<http://snomed.info/id/85345005>	2
<http://snomed.info/id/439960005>	2
<http://snomed.info/id/125592002>	1
<http://snomed.info/id/169149008>	1
<http://snomed.info/id/165540007>	1
<http://snomed.info/id/14304000>	2
<http://snomed.info/id/129857008>	1
<http://snomed.info/id/238772004>	1
<http://snomed.info/id/403148000>	4
<http://snomed.info/id/95520009>	1
<http://snomed.info/id/17369002>	3
<http://snomed.info/id/254878006>	2
<http://snomed.info/id/310504009>	1
<http://snomed.info/id/129103003>	1
<http://snomed.info/id/67882000>	1
<http://snomed.info/id/415690000>	1
<http://snomed.info/id/58749007>	1
<http://snomed.info/id/254877001>	1
<http://snomed.info/id/712584009>	1
<http://snomed.info/id/425736001>	2
<http://snomed.info/id/238131007>	6
<http://snomed.info/id/445445006>	1
<http://snomed.info/id/370391006>	3
<http://snomed.info/id/218192005>	2
<http://snomed.info/id/718402002>	1
<http://snomed.info/id/1288034005>	2
<http://snomed.info/id/234192009>	2
<http://snomed.info/id/200973000>	1
<http://snomed.info/id/312425004>	1
<http://snomed.info/id/118599009>	2
<http://snomed.info/id/4241002>	1
<http://snomed.info/id/71772004>	2
<http://snomed.info/id/233708003>	1
<http://snomed.info/id/427917002>	1
<http://snomed.info/id/715534008>	1
<http://snomed.info/id/1847009>	1
<http://snomed.info/id/403633007>	1
<http://snomed.info/id/109254000>	4
<http://snomed.info/id/88860002>	1
<http://snomed.info/id/65553006>	3
<http://snomed.info/id/42386007>	3
<http://snomed.info/id/69996000>	2
<http://snomed.info/id/111812000>	1
<http://snomed.info/id/302231008>	1
<http://snomed.info/id/232311007>	2
<http://snomed.info/id/16901000146103>	1
<http://snomed.info/id/1179692005>	1
<http://snomed.info/id/398263009>	1
<http://snomed.info/id/300392005>	1
<http://snomed.info/id/237622006>	1
<http://snomed.info/id/301783004>	2
<http://snomed.info/id/373923006>	2
<http://snomed.info/id/230327006>	1
<http://snomed.info/id/371775004>	2
<http://snomed.info/id/85972008>	1
<http://snomed.info/id/267073005>	1
<http://snomed.info/id/191590005>	1
<http://snomed.info/id/231532002>	2
<http://snomed.info/id/64269007>	6
<http://snomed.info/id/74257000>	1
<http://snomed.info/id/37398008>	1
<http://snomed.info/id/34395002>	1
<http://snomed.info/id/191360002>	1
<http://snomed.info/id/31515003>	5
<http://snomed.info/id/399992009>	3
<http://snomed.info/id/195213000>	1
<http://snomed.info/id/314983004>	1
<http://snomed.info/id/85418005>	1
<http://snomed.info/id/78104003>	1
<http://snomed.info/id/66466001>	1
<http://snomed.info/id/1202021001>	5
<http://snomed.info/id/102612005>	2
<http://snomed.info/id/76407009>	5
<http://snomed.info/id/402638007>	1
<http://snomed.info/id/237900002>	2
<http://snomed.info/id/713693008>	5
<http://snomed.info/id/293496007>	4
<http://snomed.info/id/238810007>	1
<http://snomed.info/id/162208002>	1
<http://snomed.info/id/723098004>	2
<http://snomed.info/id/146031000146106>	1
<http://snomed.info/id/58901008>	1
<http://snomed.info/id/308791000119101>	1
<http://snomed.info/id/363696006>	2
<http://snomed.info/id/46090001>	1
<http://snomed.info/id/299655008>	1
<http://snomed.info/id/95858001>	1
<http://snomed.info/id/416579007>	2
<http://snomed.info/id/247825008>	2
<http://snomed.info/id/63901009>	1
<http://snomed.info/id/1255413004>	1
<http://snomed.info/id/83931009>	2
<http://snomed.info/id/248315005>	1
<http://snomed.info/id/863892004>	4
<http://snomed.info/id/1204464003>	3
<http://snomed.info/id/249405005>	3
<http://snomed.info/id/235019006>	1
<http://snomed.info/id/403218008>	1
<http://snomed.info/id/373717006>	1
<http://snomed.info/id/60168000>	2
<http://snomed.info/id/27916005>	2
<http://snomed.info/id/1076721000119108>	1
<http://snomed.info/id/1268652001>	1
<http://snomed.info/id/86276007>	4
<http://snomed.info/id/109631003>	1
<http://snomed.info/id/266154004>	5
<http://snomed.info/id/35708002>	2
<http://snomed.info/id/69643006>	1
<http://snomed.info/id/1086231000119105>	3
<http://snomed.info/id/87415007>	1
<http://snomed.info/id/18001000146103>	1
<http://snomed.info/id/373420004>	1
<http://snomed.info/id/74578003>	1
<http://snomed.info/id/248208000>	1
<http://snomed.info/id/33994004>	3
<http://snomed.info/id/70070008>	2
<http://snomed.info/id/52559000>	1
<http://snomed.info/id/414819007>	10
<http://snomed.info/id/162440001>	1
<http://snomed.info/id/445378003>	1
<http://snomed.info/id/2751001>	1
<http://snomed.info/id/20022000>	2
<http://snomed.info/id/238603004>	1
<http://snomed.info/id/238546005>	1
<http://snomed.info/id/1290798002>	1
<http://snomed.info/id/73064001>	2
<http://snomed.info/id/414478003>	2
<http://snomed.info/id/418010004>	3
<http://snomed.info/id/1155726000>	1
<http://snomed.info/id/102834005>	1
<http://snomed.info/id/48165008>	3
<http://snomed.info/id/238926009>	2
<http://snomed.info/id/829991004>	2
<http://snomed.info/id/237515009>	2
<http://snomed.info/id/82470000>	3
<http://snomed.info/id/86854008>	1
<http://snomed.info/id/128474007>	1
<http://snomed.info/id/9092004>	1
<http://snomed.info/id/88412007>	2
<http://snomed.info/id/1170357001>	1
<http://snomed.info/id/442783003>	1
<http://snomed.info/id/160543007>	1
<http://snomed.info/id/25008002>	3
<http://snomed.info/id/443416007>	1
<http://snomed.info/id/232285008>	1
<http://snomed.info/id/131028000>	1
<http://snomed.info/id/75934005>	1
<http://snomed.info/id/61688009>	1
<http://snomed.info/id/230358007>	2
<http://snomed.info/id/164898000>	1
<http://snomed.info/id/37280007>	1
<http://snomed.info/id/703883009>	1
<http://snomed.info/id/293243000>	1
<http://snomed.info/id/897046009>	2
<http://snomed.info/id/419842002>	1
<http://snomed.info/id/211051008>	1
<http://snomed.info/id/239987006>	2
<http://snomed.info/id/703977005>	1
<http://snomed.info/id/23019001>	1
<http://snomed.info/id/237859009>	1
<http://snomed.info/id/402693001>	2
<http://snomed.info/id/67536000>	1
<http://snomed.info/id/202917000>	1
<http://snomed.info/id/28358004>	1
<http://snomed.info/id/423716004>	5
<http://snomed.info/id/426399003>	1
<http://snomed.info/id/718851007>	4
<http://snomed.info/id/310437009>	1
<http://snomed.info/id/1187064003>	1
