?o	?totalEdges
<http://snomed.info/id/50219008>	13
<http://snomed.info/id/26079004>	180
<http://snomed.info/id/15805002>	1
<http://snomed.info/id/3424008>	205
<http://snomed.info/id/44548000>	36
<http://snomed.info/id/61372001>	76
<http://snomed.info/id/417350008>	3
<http://snomed.info/id/193570009>	27
<http://snomed.info/id/23986001>	30
<http://snomed.info/id/71325002>	10
<http://snomed.info/id/421262002>	8
<http://snomed.info/id/17602002>	9
<http://snomed.info/id/402815007>	28
<http://snomed.info/id/61401005>	22
<http://snomed.info/id/34436003>	80
<http://snomed.info/id/274100004>	11
<http://snomed.info/id/29555009>	10
<http://snomed.info/id/38599001>	1
<http://snomed.info/id/707209001>	9
<http://snomed.info/id/205237003>	64
<http://snomed.info/id/13164000>	16
<http://snomed.info/id/254662007>	7
<http://snomed.info/id/6456007>	22
<http://snomed.info/id/72654001>	4
<http://snomed.info/id/36925002>	2
<http://snomed.info/id/274668005>	9
<http://snomed.info/id/22298006>	51
<http://snomed.info/id/75694006>	192
<http://snomed.info/id/83128009>	24
<http://snomed.info/id/409623005>	5
<http://snomed.info/id/274144001>	2
<http://snomed.info/id/13200003>	17
<http://snomed.info/id/51318005>	1
<http://snomed.info/id/301354004>	27
<http://snomed.info/id/28651003>	104
<http://snomed.info/id/6594005>	1
<http://snomed.info/id/68128000>	19
<http://snomed.info/id/95394008>	7
<http://snomed.info/id/35001004>	64
<http://snomed.info/id/42343007>	24
<http://snomed.info/id/31922003>	6
<http://snomed.info/id/271759003>	5
<http://snomed.info/id/125643001>	2
<http://snomed.info/id/254837009>	6
<http://snomed.info/id/5370000>	8
<http://snomed.info/id/230690007>	65
<http://snomed.info/id/36976004>	3
<http://snomed.info/id/66931009>	42
<http://snomed.info/id/20165001>	12
<http://snomed.info/id/1303592000>	11
<http://snomed.info/id/195924009>	3
<http://snomed.info/id/371632003>	30
<http://snomed.info/id/240126009>	1
<http://snomed.info/id/17450006>	24
<http://snomed.info/id/20262006>	78
<http://snomed.info/id/2776000>	40
<http://snomed.info/id/79499004>	21
<http://snomed.info/id/25906001>	1
<http://snomed.info/id/64226004>	52
<http://snomed.info/id/12063002>	21
<http://snomed.info/id/30746006>	63
<http://snomed.info/id/60238002>	16
<http://snomed.info/id/1141974008>	17
<http://snomed.info/id/95392007>	9
<http://snomed.info/id/95388000>	20
<http://snomed.info/id/367391008>	185
<http://snomed.info/id/123789000>	9
<http://snomed.info/id/51599000>	16
<http://snomed.info/id/59927004>	99
<http://snomed.info/id/61274003>	19
<http://snomed.info/id/16146001>	2
<http://snomed.info/id/312131008>	16
<http://snomed.info/id/32398004>	45
<http://snomed.info/id/428217009>	1
<http://snomed.info/id/28944009>	4
<http://snomed.info/id/75549005>	5
<http://snomed.info/id/28926001>	6
<http://snomed.info/id/67023009>	6
<http://snomed.info/id/276552008>	5
<http://snomed.info/id/68409003>	3
<http://snomed.info/id/3723001>	42
<http://snomed.info/id/413566007>	4
<http://snomed.info/id/129565002>	41
<http://snomed.info/id/14669001>	32
<http://snomed.info/id/65323003>	3
<http://snomed.info/id/396230008>	6
<http://snomed.info/id/31996006>	84
<http://snomed.info/id/715863001>	9
<http://snomed.info/id/91637004>	25
<http://snomed.info/id/230684008>	9
<http://snomed.info/id/48167000>	54
<http://snomed.info/id/419145002>	64
<http://snomed.info/id/444751005>	2
<http://snomed.info/id/472990007>	2
<http://snomed.info/id/87628006>	9
<http://snomed.info/id/302870006>	45
<http://snomed.info/id/418470004>	13
<http://snomed.info/id/75183008>	46
<http://snomed.info/id/266599000>	23
<http://snomed.info/id/445322004>	7
<http://snomed.info/id/386692008>	29
<http://snomed.info/id/733177005>	1
<http://snomed.info/id/312153005>	1
<http://snomed.info/id/36971009>	53
<http://snomed.info/id/49441000146107>	1
<http://snomed.info/id/763325000>	25
<http://snomed.info/id/102893002>	80
<http://snomed.info/id/60119000>	4
<http://snomed.info/id/76581006>	22
<http://snomed.info/id/29484002>	16
<http://snomed.info/id/49765009>	25
<http://snomed.info/id/85305001>	8
<http://snomed.info/id/297128006>	28
<http://snomed.info/id/80182007>	16
<http://snomed.info/id/71315007>	7
<http://snomed.info/id/48880000>	1
<http://snomed.info/id/58635009>	5
<http://snomed.info/id/247347003>	17
<http://snomed.info/id/267802000>	5
<http://snomed.info/id/124042003>	4
<http://snomed.info/id/419045004>	16
<http://snomed.info/id/56169002>	11
<http://snomed.info/id/366979004>	18
<http://snomed.info/id/275258002>	4
<http://snomed.info/id/116289008>	19
<http://snomed.info/id/247340001>	9
<http://snomed.info/id/48541000>	3
<http://snomed.info/id/36209000>	15
<http://snomed.info/id/44018007>	33
<http://snomed.info/id/279333002>	12
<http://snomed.info/id/66760008>	9
<http://snomed.info/id/12267931000119106>	3
<http://snomed.info/id/39621005>	2
<http://snomed.info/id/424263008>	2
<http://snomed.info/id/109841003>	1
<http://snomed.info/id/55464009>	24
<http://snomed.info/id/24526004>	4
<http://snomed.info/id/271700006>	2
<http://snomed.info/id/1177001000>	1
<http://snomed.info/id/128060009>	6
<http://snomed.info/id/88594005>	23
<http://snomed.info/id/86081009>	1
<http://snomed.info/id/15188001>	28
<http://snomed.info/id/417163006>	5
<http://snomed.info/id/254900004>	2
<http://snomed.info/id/409673008>	52
<http://snomed.info/id/160931000119108>	46
<http://snomed.info/id/237785004>	9
<http://snomed.info/id/41997000>	15
<http://snomed.info/id/427044009>	12
<http://snomed.info/id/197270009>	21
<http://snomed.info/id/176271000119108>	4
<http://snomed.info/id/160499008>	14
<http://snomed.info/id/91175000>	13
<http://snomed.info/id/51476001>	22
<http://snomed.info/id/788465007>	35
<http://snomed.info/id/387603000>	35
