?s	?totalEdges
<http://purl.bioontology.org/ontology/ATC/N05BA09>	5
<http://purl.bioontology.org/ontology/ATC/A02BC01>	1
<http://purl.bioontology.org/ontology/ATC/J01FA01>	4
<http://purl.bioontology.org/ontology/ATC/J04AB02>	8
<http://purl.bioontology.org/ontology/ATC/N06AA10>	2
<http://purl.bioontology.org/ontology/ATC/L01EH02>	1
<http://purl.bioontology.org/ontology/ATC/C03BA04>	10
<http://purl.bioontology.org/ontology/ATC/J07CA01>	4
<http://purl.bioontology.org/ontology/ATC/M01AE03>	11
<http://purl.bioontology.org/ontology/ATC/C07AB08>	10
<http://purl.bioontology.org/ontology/ATC/J07AN01>	11
<http://purl.bioontology.org/ontology/ATC/G04BX14>	9
<http://purl.bioontology.org/ontology/ATC/N07BC02>	3
<http://purl.bioontology.org/ontology/ATC/N05CD11>	5
<http://purl.bioontology.org/ontology/ATC/A10BD15>	12
<http://purl.bioontology.org/ontology/ATC/G01AF01>	1
<http://purl.bioontology.org/ontology/ATC/J01MA12>	7
<http://purl.bioontology.org/ontology/ATC/L04AX01>	1
<http://purl.bioontology.org/ontology/ATC/L01AD01>	4
<http://purl.bioontology.org/ontology/ATC/M01AC06>	12
<http://purl.bioontology.org/ontology/ATC/A03FA03>	8
<http://purl.bioontology.org/ontology/ATC/D05BB02>	6
<http://purl.bioontology.org/ontology/ATC/V01AA05>	17
<http://purl.bioontology.org/ontology/ATC/J07AL02>	3
<http://purl.bioontology.org/ontology/ATC/V03AE02>	2
<http://purl.bioontology.org/ontology/ATC/G03AB08>	28
<http://purl.bioontology.org/ontology/ATC/A02BX13>	1
<http://purl.bioontology.org/ontology/ATC/C08CA12>	6
<http://purl.bioontology.org/ontology/ATC/N04BC04>	2
<http://purl.bioontology.org/ontology/ATC/N03AF02>	1
<http://purl.bioontology.org/ontology/ATC/G04BE03>	6
<http://purl.bioontology.org/ontology/ATC/C01BA02>	3
<http://purl.bioontology.org/ontology/ATC/V01AA02>	25
<http://purl.bioontology.org/ontology/ATC/V03AE05>	1
